01-01-2000 09:20:08 RAM 11350/30991MB (lfb 2427x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2255,15%@2253,7%@2252,7%@2253,5%@2251,5%@2252,100%@2249,7%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@48C CPU@51C thermal@49.05C Tboard@47C AO@47C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 616mW/615mW CPU 3697mW/7215mW SOC 2771mW/2769mW CV 0mW/0mW VDDRQ 616mW/628mW SYS5V 3702mW/3675mW
01-01-2000 09:20:09 RAM 11380/30991MB (lfb 2427x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2251,19%@2250,9%@2253,8%@2250,4%@2248,7%@2250,100%@2253,4%@2255] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@48C CPU@51C thermal@49.05C Tboard@47C AO@47C GPU@48.5C Tdiode@53C PMIC@50C GPU 616mW/615mW CPU 3695mW/6944mW SOC 2925mW/2781mW CV 0mW/0mW VDDRQ 770mW/639mW SYS5V 3741mW/3680mW
01-01-2000 09:20:10 RAM 11418/30991MB (lfb 2427x4MB) SWAP 0/15495MB (cached 0MB) CPU [17%@2258,14%@2253,6%@2250,7%@2252,11%@2254,6%@2252,100%@2253,8%@2251] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@49.05C Tboard@47C AO@47C GPU@48C Tdiode@53.25C PMIC@50C GPU 616mW/615mW CPU 3695mW/6712mW SOC 2925mW/2791mW CV 0mW/0mW VDDRQ 770mW/648mW SYS5V 3741mW/3684mW
01-01-2000 09:20:11 RAM 11466/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2255,10%@2257,6%@2254,5%@2257,12%@2253,8%@2259,100%@2246,8%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@49.05C Tboard@47C AO@46.5C GPU@48C Tdiode@53C PMIC@50C GPU 616mW/615mW CPU 3695mW/6511mW SOC 2925mW/2800mW CV 0mW/0mW VDDRQ 770mW/656mW SYS5V 3702mW/3685mW
01-01-2000 09:20:12 RAM 11510/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2251,12%@2250,4%@2254,8%@2253,11%@2250,7%@2258,100%@2247,7%@2254] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@48C CPU@50.5C thermal@48.75C Tboard@47C AO@46.5C GPU@48C Tdiode@53C PMIC@50C GPU 616mW/615mW CPU 3543mW/6325mW SOC 2771mW/2798mW CV 0mW/0mW VDDRQ 616mW/654mW SYS5V 3662mW/3684mW
01-01-2000 09:20:13 RAM 11537/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2253,16%@2252,7%@2252,4%@2252,7%@2253,6%@2253,100%@2254,5%@2256] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.75C Tboard@47C AO@47C GPU@48C Tdiode@53C PMIC@50C GPU 616mW/615mW CPU 3543mW/6162mW SOC 2925mW/2806mW CV 0mW/0mW VDDRQ 770mW/660mW SYS5V 3702mW/3685mW
01-01-2000 09:20:14 RAM 11603/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2251,11%@2252,3%@2248,5%@2246,7%@2253,11%@2250,100%@2253,5%@2254] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.75C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3543mW/6016mW SOC 2772mW/2804mW CV 0mW/0mW VDDRQ 616mW/658mW SYS5V 3662mW/3684mW
01-01-2000 09:20:15 RAM 11624/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2254,10%@2254,8%@2252,8%@2249,4%@2252,5%@2251,100%@2253,4%@2250] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.55C Tboard@48C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3389mW/5878mW SOC 2772mW/2802mW CV 0mW/0mW VDDRQ 616mW/656mW SYS5V 3702mW/3685mW
01-01-2000 09:20:16 RAM 11681/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2255,16%@2254,4%@2252,6%@2252,6%@2253,7%@2251,100%@2255,5%@2253] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.55C Tboard@48C AO@46.5C GPU@48C Tdiode@53C PMIC@50C GPU 616mW/615mW CPU 3543mW/5761mW SOC 2772mW/2801mW CV 0mW/0mW VDDRQ 616mW/654mW SYS5V 3662mW/3683mW
01-01-2000 09:20:17 RAM 11700/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2254,18%@2255,7%@2252,6%@2254,5%@2258,6%@2253,100%@2252,6%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.55C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3697mW/5663mW SOC 2925mW/2806mW CV 0mW/0mW VDDRQ 616mW/652mW SYS5V 3702mW/3684mW
