01-01-2000 09:07:47 RAM 11261/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2252,15%@2252,8%@2253,100%@2252,3%@2255,4%@2252,9%@2249,7%@2254] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.55C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3697mW/7179mW SOC 2925mW/2718mW CV 0mW/0mW VDDRQ 616mW/615mW SYS5V 3702mW/3655mW
01-01-2000 09:07:48 RAM 11307/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [21%@2252,7%@2252,9%@2252,100%@2251,12%@2252,8%@2253,14%@2253,8%@2253] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3697mW/6911mW SOC 2772mW/2722mW CV 0mW/0mW VDDRQ 616mW/615mW SYS5V 3662mW/3656mW
01-01-2000 09:07:49 RAM 11348/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2254,10%@2251,5%@2255,100%@2254,7%@2252,4%@2252,10%@2253,10%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3697mW/6682mW SOC 2772mW/2726mW CV 0mW/0mW VDDRQ 616mW/615mW SYS5V 3662mW/3656mW
01-01-2000 09:07:50 RAM 11386/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [17%@2254,13%@2254,7%@2255,100%@2253,6%@2255,6%@2253,9%@2252,7%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3697mW/6483mW SOC 2772mW/2729mW CV 0mW/0mW VDDRQ 616mW/615mW SYS5V 3662mW/3656mW
01-01-2000 09:07:51 RAM 11419/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [17%@2253,8%@2254,1%@2252,100%@2252,8%@2252,5%@2254,10%@2254,11%@2253] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/6299mW SOC 2772mW/2731mW CV 0mW/0mW VDDRQ 616mW/615mW SYS5V 3702mW/3659mW
01-01-2000 09:07:52 RAM 11457/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2251,21%@2252,1%@2255,100%@2252,5%@2251,7%@2254,5%@2252,5%@2252] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.05C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/6137mW SOC 2926mW/2743mW CV 0mW/0mW VDDRQ 770mW/624mW SYS5V 3741mW/3664mW
01-01-2000 09:07:53 RAM 11515/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2251,18%@2254,2%@2253,100%@2252,12%@2250,7%@2253,7%@2252,7%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.4C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5993mW SOC 2772mW/2744mW CV 0mW/0mW VDDRQ 616mW/624mW SYS5V 3662mW/3664mW
01-01-2000 09:07:54 RAM 11533/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2254,9%@2252,5%@2249,100%@2253,7%@2253,9%@2252,13%@2253,13%@2255] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3235mW/5847mW SOC 2926mW/2754mW CV 0mW/0mW VDDRQ 770mW/631mW SYS5V 3741mW/3668mW
01-01-2000 09:07:55 RAM 11599/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [26%@2253,15%@2252,4%@2246,100%@2253,4%@2254,6%@2252,8%@2253,7%@2251] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@50C thermal@48.05C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5732mW SOC 2772mW/2755mW CV 0mW/0mW VDDRQ 616mW/631mW SYS5V 3662mW/3668mW
01-01-2000 09:07:56 RAM 11627/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2253,14%@2251,4%@2257,100%@2254,5%@2253,3%@2253,10%@2254,12%@2252] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@48.4C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3697mW/5635mW SOC 2772mW/2756mW CV 0mW/0mW VDDRQ 616mW/630mW SYS5V 3662mW/3667mW
01-01-2000 09:07:57 RAM 11630/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2253,9%@2253,3%@2245,100%@2253,11%@2253,8%@2253,9%@2253,8%@2254] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.1C Tboard@47C AO@46C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3235mW/5526mW SOC 2926mW/2763mW CV 0mW/0mW VDDRQ 770mW/636mW SYS5V 3741mW/3671mW
01-01-2000 09:07:58 RAM 11653/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2252,13%@2246,4%@2252,100%@2251,6%@2253,11%@2251,8%@2254,7%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@48.05C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5440mW SOC 2772mW/2764mW CV 0mW/0mW VDDRQ 616mW/635mW SYS5V 3662mW/3670mW
01-01-2000 09:07:59 RAM 11675/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [21%@2255,14%@2253,2%@2253,100%@2252,9%@2249,7%@2255,7%@2255,7%@2255] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@48.25C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5361mW SOC 2772mW/2764mW CV 0mW/0mW VDDRQ 616mW/634mW SYS5V 3662mW/3670mW
01-01-2000 09:08:00 RAM 11697/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2254,59%@2256,8%@2255,52%@2254,9%@2254,13%@2253,7%@2249,11%@2253] EMC_FREQ 2%@2133 GR3D_FREQ 20%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.4C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3697mW/5294mW SOC 2772mW/2764mW CV 0mW/0mW VDDRQ 616mW/634mW SYS5V 3662mW/3669mW
01-01-2000 09:08:01 RAM 11717/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2253,70%@2252,6%@2250,12%@2252,39%@2251,6%@2251,10%@2252,4%@2252] EMC_FREQ 2%@2133 GR3D_FREQ 17%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5227mW SOC 2772mW/2765mW CV 0mW/0mW VDDRQ 616mW/633mW SYS5V 3662mW/3669mW
